prev_sem_cgpa,avg_study_hours_per_day,attendance_percent,sleep_hours,extracurricular_score,num_projects_done,stress_level,internet_usage_hours,next_sem_cgpa
10.0,1.2739856413506243,0.0,3.590904987558201,1.7687890010080365,5.0,1.0,6.395678195836859,5.516920071706012
10.0,7.44488969507655,0.0,5.219769099495704,2.256650192383716,4.0,1.1,12.406722201968991,7.1787742581095415
10.0,0.0,2.5000986732125283,7.767452749915512,4.004734646780643,7.0,1.3,7.7921848406638095,6.00377964029205
10.0,2.768270385085549,8.342365476836438,6.13059152926011,10.0,8.0,1.3,0.1666856174409556,6.821198523018146
9.96389851441187,3.1487560161390054,14.596232827213033,7.420161829933527,0.0,10.0,1.4,12.635501963041367,6.3843898004195445
9.951890187662062,7.073766266542531,0.0,5.397828741255725,10.0,4.0,1.5,6.289635698901243,7.461792779273943
9.864260009532385,9.310542613491949,0.0721726274163874,7.012682396246451,2.907956180613474,5.0,1.5,4.776820312755648,7.466118470996669
9.906214312693496,6.095128860161806,8.4883261685223,2.718454853698975,9.852322388939834,3.0,1.6,6.345474361205994,7.087227992605896
9.916849095011942,0.1401679177547388,13.665434319686224,0.7466113646021572,7.769937147953181,1.0,1.6,2.931742634047997,5.463973317688408
9.963886205111237,1.9114190871397236,1.3177540597739248,4.47112123179734,3.665742185579116,2.0,1.6,2.417090731894912,5.923858954403842
9.83843357440053,6.003938134309477,11.00371621166054,6.620400419318842,10.0,3.0,1.6,0.7644808225251012,7.105804372944947
9.89631844955182,0.1894798212210806,0.2615199362420561,0.9707971673960304,6.597883320430401,4.0,1.7,6.168568181051217,5.915956544001865
9.911383795245598,4.742993025994302,0.0,6.030092422980934,6.252198832086623,6.0,1.7,0.370390246119634,6.7261169807828365
9.838143048384794,7.944430400504217,3.398719659345357,2.609049336862016,0.0,2.0,1.7,2.437489859430903,6.811157955513787
9.93547611196401,9.017752332206582,14.21083155949331,3.777019375933304,0.9108296815319132,5.0,1.8,0.0,6.8126255348363935
9.885348634502636,6.785955988811297,0.0,2.173957536234892,6.211568533440135,3.0,1.8,4.029945587639402,6.70935762283993
9.98518009899072,4.089628044039636,0.0,0.9458958421551924,1.7844072794408128,3.0,1.9,6.5095050540955945,6.244010783546136
9.8988797370794,10.0,2.855897031096044,7.976767476101522,4.698516296884242,5.0,2.0,8.08302123694841,7.407099880449459
9.870670160851269,6.456890576597431,10.810016862372748,1.6495282094457155,2.3942636795999643,2.0,2.0,4.169137745708332,6.676527605275127
9.886190287921549,2.132281751065708,9.174781697824386,3.4951357037587423,8.5374608107963,7.0,2.0,1.570691206020566,6.745586818615718
9.827309921788489,2.2707211442962074,0.0,3.3022781998233848,5.5322096523849735,3.0,2.1,1.451887183168035,5.79309670685147
9.801746778610584,4.519858407246879,0.0,1.0574853965506832,3.2530759938879914,5.0,2.1,14.085209587426242,5.797319549197523
9.774694845732702,7.274983667754145,0.5526765873697006,5.392229144677089,9.200088460680416,6.0,2.1,0.462235759521453,7.488509336884245
9.795987784942607,2.672512012516814,10.658144238997853,0.2028527833230289,1.4384381110405469,6.0,2.2,2.5666193832229163,5.804056757293804
9.789134554430133,5.783337820893595,7.833412188988516,0.7946003829452114,7.451488042268018,8.0,2.2,3.4732061311912665,7.490893529004342
9.809362348307367,3.83527463989297,0.0,4.355010764450279,9.582338463033444,6.0,2.2,16.148227676619534,7.21664299258439
9.824940386457468,10.0,0.0,7.186093808786477,8.771820490814372,2.0,2.3,0.5157734627699737,7.382147375507623
9.759486382202931,2.195582275455331,2.1246008560719165,8.176473160471243,0.0,5.0,2.3,2.4123470156617923,5.612593714269931
9.79086644234469,5.6086455590444615,2.7206322271932475,7.687109566907592,5.885375322251412,2.0,2.3,5.062025582809639,6.571768698188886
9.812927112581717,1.5752346082644169,2.7423513097297247,6.620158017515813,8.572933871281792,3.0,2.3,6.27609222658009,6.207814696504886
9.828231936518236,0.3676198402097109,15.948384305629563,0.3098947793806345,3.894119773000067,3.0,2.4,7.927978984828602,5.336699332466745
9.784524104284612,2.144679382323844,0.0,3.4178952738950388,7.021867578697561,0.0,2.4,9.148071758526994,5.091558817654689
9.738656003259141,8.18262509987762,8.282887684900263,5.930243908182876,1.9706490862941837,1.0,2.4,5.240544397455983,6.337764623503305
9.737964154650593,3.826003689340834,11.83240092997822,0.965541415541049,0.356330194572383,6.0,2.5,5.3710149314623,5.536906863596176
9.678411526437383,4.963277544982581,10.247324838147952,2.6498836465110647,10.0,7.0,2.5,0.0,7.063973762736695
9.749968921092568,4.476399456714604,1.3473752463344688,8.00952434406396,7.816544662496676,4.0,2.5,1.3495646752777817,6.740874810565456
9.720746845364003,0.7092507951582773,3.221206434119438,5.282672504919866,0.8695213680829027,1.0,2.5,0.0,4.820999095717779
9.728886409856614,10.0,1.3099777748300152,1.7282310593021832,1.8851493863826967,8.0,2.5,1.1135129105549684,7.688416443116416
9.691021467181796,7.5480585294369344,0.0,4.854824923916704,2.19831786275136,4.0,2.5,5.616237711561511,6.6247304571893935
9.637850949753329,4.759985297027483,10.888101548641997,2.4287958274583854,5.2354703453281815,0.0,2.6,0.0,5.542780790839272
9.742408021693011,2.2339111206622664,16.95658513985678,3.5771923284963147,0.5158683772373829,4.0,2.6,1.1274347709001746,4.656945189000888
9.71128296470662,3.5632950758795747,16.028915670010534,1.353441507578566,10.0,4.0,2.6,0.9328891936805226,6.5356187813533895
9.686641597280026,0.4156222469658744,0.0,0.3765922598158805,1.2428811078116362,6.0,2.6,2.91496770887018,5.136658216313822
9.646035348287665,0.0,2.5995106976437627,8.374565401881586,8.597987887832721,3.0,2.6,9.929601764712151,5.295259323634772
9.63364952373595,1.102327163189135,9.344089202719266,6.097998660097157,5.335693417238724,4.0,2.6,0.6101285788611012,5.105544628615521
9.70724179226188,9.491015226120314,19.910700837135614,0.5823107245349102,0.6833245115160919,7.0,2.6,0.0,6.85648605664386
9.565874721820293,2.7478380591931675,11.04208036222352,4.858535680810644,7.094839289798654,4.0,2.6,5.127309280093044,5.981034730208365
9.728234581994101,6.824281218984232,20.862409079888117,1.5056707985599724,8.772714703947104,5.0,2.7,7.621867855197322,7.261172927693911
9.639356628624137,7.308131858887009,0.2419077407227181,0.0,1.2617313574235771,10.0,2.7,0.0,6.984502732457209
9.589092630615845,8.833025302994919,14.749040455913,6.757168944134263,6.338171152648998,2.0,2.7,12.301565321285432,7.348954139172219
9.600693809231919,4.571576351027758,0.0,7.522919896368791,0.0,3.0,2.7,0.0,5.298899104679052
9.613021026467994,8.818545784270944,5.9557647748147975,2.309692749676396,7.202652100308632,7.0,2.8,10.121852164174664,7.729693635353956
9.66937312276716,7.256925807590045,0.0,1.1175558119567768,10.0,1.0,2.8,6.927497601803991,6.885634089724434
9.607627319111492,5.981588851509329,0.0,5.069069755776982,6.540298714302358,2.0,2.8,8.133947989293032,6.543408862155688
9.52856619175962,4.561255069707812,16.52009446018218,5.837190564027461,3.9868156140600206,2.0,2.8,3.853403543414144,5.718167495894815
9.519249652721816,1.2445511539145682,0.0,1.7737642449733235,0.5220949599099427,2.0,2.8,0.0,5.08237315357989
9.589666513091789,4.585357263622048,19.58441289315426,6.187370092945308,6.489766372899601,10.0,2.9,7.820782880519624,6.935157309903711
9.564025057350884,8.854323483129978,4.691466436921865,5.52398261839199,2.1750185676554685,1.0,2.9,7.657923844101949,6.210778034434833
9.52508883907949,5.326739498337554,0.0,6.433555711874906,0.3547548661510113,5.0,3.0,6.396026980363299,5.87205980329674
9.622947327900318,10.0,4.460337998658603,4.334418476347566,0.0,6.0,3.0,1.8647875904271145,6.811323156477847
9.469344254430846,0.0,0.0,4.241752653312632,8.040687421038859,7.0,3.0,3.371088377802772,5.894545147945152
9.498426154468534,5.138453046419692,5.222545246600601,0.0,5.234555899044375,4.0,3.0,0.3080636833671748,5.921353526996265
9.586723378404606,7.406528443176513,1.640449758997614,6.318015395566423,6.510754822926838,5.0,3.1,10.1312173191091,6.872164457520276
